№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
69;Воздух, климат и очистка;Вентиляция и климат;Неделя 1;Арктос (air-vent.pro);офиц. представитель / производитель;Радиальные и осевые вентиляторы, Клапаны и решётки;Запрос дилерских условий;e-mail / телефон;zakaz@air-vent.pro;+7 495 128 94 50;https://air-vent.pro/;Дилерство Арктос — ПРОМКОНТУР, направление «Вентиляция и климат»;;;;;;;;;не отправлено;
70;Воздух, климат и очистка;Вентиляция и климат;Неделя 1;Shuft;дистрибьюторская сеть (shuft.pro/ru-shuft.com);Чиллеры и фанкойлы, ПВУ;Запрос дилерских условий;e-mail;info@shuft.pro;;https://shuft.pro/partners/;Дилерство Shuft — ПРОМКОНТУР, направление «Вентиляция и климат»;;;;;;;;;не отправлено;
71;Воздух, климат и очистка;Вентиляция и климат;Неделя 2;ООО «Элстат»;производитель;Воздуховоды, Клапаны и решётки;Запрос условий сервиса / КП;форма на сайте;;;http://electroplaters.ru/catalog/elstat/;Запрос условий для B2B-площадки ПРОМКОНТУР — Вентиляция и климат;;;;;;;;;не отправлено;
72;Воздух, климат и очистка;Промышленный холод;Неделя 1;Polair (Инвест-холод, Марий-Эл);производитель;ККБ, Холодильные агрегаты и централи, Воздухоохладители, Автоматика, компрессоры, хладагенты;Запрос дилерских условий;форма на сайте / телефон;;;https://www.polair-shop.ru/;Дилерство Polair — ПРОМКОНТУР, направление «Промышленный холод»;;;;;;;;;не отправлено;
73;Воздух, климат и очистка;Промышленный холод;Неделя 2;«Полюс холода» (siss.ru);мультибрендовый дилер;Холодильные камеры, ККБ, Холодильные агрегаты и централи;Подключение прайса и остатков;форма на сайте;;;https://siss.ru/firm/polyus-kholoda;Подключение прайса Cryspi, Polair, Rada, Abat, Intercold, МХМ, Ирбис, Ариада к площадке ПРОМКОНТУР;;;;;;;;;не отправлено;
74;Воздух, климат и очистка;Промышленный холод;Резерв;Ариада;производитель;ККБ, Холодильные агрегаты и централи;Запрос условий сервиса / КП;форма на сайте;;;https://ural-mart.ru/;Запрос условий для B2B-площадки ПРОМКОНТУР — Промышленный холод;;;;;;;;;не отправлено;
75;Воздух, климат и очистка;Промышленные фильтры;Неделя 1;ООО «БИГ Фильтр» (BIG FILTER);производитель;Воздушные для компрессоров и двигателей, Масляные и топливные, Гидравлические;Запрос дилерских условий;форма на сайте;;;https://bigfilter.com/partnership/dealers/;Дилерство BIG FILTER — ПРОМКОНТУР, направление «Промышленные фильтры»;;;;;;;;;не отправлено;
76;Воздух, климат и очистка;Промышленные фильтры;Неделя 2;ООО «ДСТС» (Donaldson);офиц. дистрибьютор;Воздушные для компрессоров и двигателей, Гидравлические, Для жидкостей и мешочные;Запрос дилерских условий;телефон / e-mail;;+7 495 987-39-99;https://filters-dsts.ru/;Дилерство Donaldson — ПРОМКОНТУР, направление «Промышленные фильтры»;;;;;;;;;не отправлено;
77;Воздух, климат и очистка;Промышленные фильтры;Неделя 2;ООО «Элстат»;производитель;Вентиляционные карманные/панельные, Картриджи для аспирации, Корпуса фильтров;Запрос условий сервиса / КП;форма на сайте;;;http://electroplaters.ru/catalog/elstat/;Запрос условий для B2B-площадки ПРОМКОНТУР — Промышленные фильтры;;;;;;;;;не отправлено;
78;Воздух, климат и очистка;Пылеулавливание и аспирация;Неделя 1;Завод АСПИРАТОР;производитель;Циклоны, Рукавные фильтры, Агрегаты для деревообработки, Местные отсосы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://aspirator.pro/;Партнёрство по привлечению заказчиков — Пылеулавливание и аспирация;;;;;;;;;не отправлено;
79;Воздух, климат и очистка;Пылеулавливание и аспирация;Неделя 1;АО «СовПлим»;производитель;Рукавные фильтры, Картриджные, Циклоны;Агентская схема — вознаграждение за заявку;телефон;;8 800 555-83-03;;Партнёрство по привлечению заказчиков — Пылеулавливание и аспирация;;;;;;;;;не отправлено;
80;Воздух, климат и очистка;Пылеулавливание и аспирация;Неделя 2;ЗАО «Консар» (Саров);производитель;Циклоны, Местные отсосы, Шлюзовые затворы и рукава;Агентская схема — вознаграждение за заявку;e-mail / телефон;konsar@yandex.ru;+7 (3952) 999-008;https://konsar.ru/;Партнёрство по привлечению заказчиков — Пылеулавливание и аспирация;;;;;;;;;не отправлено;
81;Воздух, климат и очистка;Пылеулавливание и аспирация;Неделя 2;ООО «Элстат» (ЭФВА для сварки);производитель;ФВА для сварки, Картриджные;Запрос условий сервиса / КП;форма на сайте;;;http://electroplaters.ru/catalog/elstat/;Запрос условий для B2B-площадки ПРОМКОНТУР — Пылеулавливание и аспирация;;;;;;;;;не отправлено;
82;Воздух, климат и очистка;Очистка воздуха и газов;Неделя 1;НПО «Центр «ШВ»;производитель;Скрубберы, Адсорберы, Термическое/каталитическое окисление;Агентская схема — вознаграждение за заявку;форма (опросный лист) на сайте;;;https://xn----7sbbidzcq8ah0am6d.xn--p1ai/gas-scrubber.html;Партнёрство по привлечению заказчиков — Очистка воздуха и газов;;;;;;;;;не отправлено;
83;Воздух, климат и очистка;Очистка воздуха и газов;Неделя 1;ООО «ЭКАТ» (Пермь);производитель;Термическое/каталитическое окисление, Скрубберы;Агентская схема — вознаграждение за заявку;форма на сайте;;+7 (342) 255-44-39;https://ekokataliz.ru/contacts/;Партнёрство по привлечению заказчиков — Очистка воздуха и газов;;;;;;;;;не отправлено;
84;Воздух, климат и очистка;Очистка воздуха и газов;Неделя 1;ФИНГО (ПАО «СЗГО», Семибратовский завод газоочистного оборудования);производитель;Электрофильтры, Туманоуловители;Агентская схема — вознаграждение за заявку;телефон / e-mail;info@fingo.tech;+7 495 118-94-07;https://fingo.tech/ru/products/elektrofiltry/;Партнёрство по привлечению заказчиков — Очистка воздуха и газов;;;;;;;;;не отправлено;
85;Воздух, климат и очистка;Очистка воздуха и газов;Неделя 2;АО «Кондор-Эко» (Семибратово);производитель;Электрофильтры;Агентская схема — вознаграждение за заявку;телефон / форма на сайте;info@kondor-eco.ru;+7(4852)20-80-25;https://kondor-eco.ru/product/elecfilter/90-jelektrofiltry-tipa-ogp-og.html;Партнёрство по привлечению заказчиков — Очистка воздуха и газов;;;;;;;;;не отправлено;
86;Воздух, климат и очистка;Очистка воздуха и газов;Неделя 2;АО «Редкинский катализаторный завод»;производитель;Сорбенты и катализаторы;Запрос дилерских условий;телефон / e-mail;redk_catalys@bk.ru;(495) 411-94-25;https://recatalys.ru/contacts/;Дилерство РК, ПК, АПН — ПРОМКОНТУР, направление «Очистка воздуха и газов»;;;;;;;;;не отправлено;
87;Воздух, климат и очистка;Очистка воздуха и газов;Неделя 2;ООО «Евротехлаб» (ETL);производитель;Мониторинг выбросов;Агентская схема — вознаграждение за заявку;e-mail / форма на сайте;office@evrotechlab.ru;;https://evrotechlab.ru/equipment/kompleks-postojannogo-kontrolja-vybrosov/;Партнёрство по привлечению заказчиков — Очистка воздуха и газов;;;;;;;;;не отправлено;
88;Воздух, климат и очистка;Очистка воздуха и газов;Резерв;ЗАО НТЦ «Пергам»;производитель;Мониторинг выбросов;Агентская схема — вознаграждение за заявку;телефон / e-mail;gasleak@pergam.ru;+7(495) 775-75-25;https://www.pergam.ru/catalog/pci/eco/askv-pergam.htm;Партнёрство по привлечению заказчиков — Очистка воздуха и газов;;;;;;;;;не отправлено;
89;Воздух, климат и очистка;Промышленные печи и сушильные камеры;Неделя 1;Terawood (sushilnyekamery.com);производитель;Сушильные камеры для древесины;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://sushilnyekamery.com/partnyorskaya-programma;Партнёрство по привлечению заказчиков — Промышленные печи и сушильные камеры;;;;;;;;;не отправлено;
90;Воздух, климат и очистка;Промышленные печи и сушильные камеры;Неделя 2;ООО «ЛКП Инжиниринг» (NOVA);производитель;Сушильные камеры для древесины;Агентская схема — вознаграждение за заявку;телефон / e-mail;info@nova.ru;+7(495)526-69-56;https://nova.ru/;Партнёрство по привлечению заказчиков — Промышленные печи и сушильные камеры;;;;;;;;;не отправлено;
91;Воздух, климат и очистка;Промышленные печи и сушильные камеры;Неделя 2;СНОЛ-ТЕРМ (офиц. дистрибьютор SNOL);офиц. дистрибьютор;Муфельные печи, Сушильные шкафы, Печи термообработки;Запрос дилерских условий;телефон / e-mail;info@snol-term.ru;+7 (4822) 399-579;https://snol-term.ru/;Дилерство SNOL — ПРОМКОНТУР, направление «Промышленные печи и сушильные камеры»;;;;;;;;;не отправлено;
92;Воздух, климат и очистка;Промышленные печи и сушильные камеры;Резерв;ЗАО «Накал-Промышленные печи»;производитель;Печи термообработки, Сушильные шкафы, Нагреватели и горелки;Агентская схема — вознаграждение за заявку;телефон;;+7 (495) 994-08-86;https://www.nakal.ru/;Партнёрство по привлечению заказчиков — Промышленные печи и сушильные камеры;;;;;;;;;не отправлено;
93;Механика, привод, запчасти;Редукторы и мотор-редукторы;Неделя 1;Завод редукторов ZR (zavod-red.ru);производитель (свой);Червячные, Цилиндрические соосные, Коническо-цилиндрические, Планетарные, Общепромышленные Ц2У, 1Ц2У, РМ, Плоские насадные;Подключение прайса и остатков;личный кабинет / прямая интеграция;;;https://zavod-red.ru;Подключение прайса ZR к площадке ПРОМКОНТУР;;;;;;;;;не отправлено;
94;Механика, привод, запчасти;Редукторы и мотор-редукторы;Неделя 2;ООО «Компания АСТАТ» (Новосибирск) — офиц. представитель Guomao;офиц. дистрибьютор;Червячные, Цилиндрические соосные, Коническо-цилиндрические, Планетарные;Завод в Китае: цены, OEM, дистрибуция;телефон / форма на сайте;;+7 (383) 341-70-00;https://astat85.ru;Distribution in Russia — Guomao (Jiangsu Guomao Reducer) / ПРОМКОНТУР;;;;;;;;;не отправлено;
95;Механика, привод, запчасти;Редукторы и мотор-редукторы;Неделя 2;Swiss Drive Systems (sdrives.ru) — прямой поставщик Boneng Transmission;офиц. дистрибьютор;Вариаторы и запчасти, Планетарные, Цилиндрические соосные;Завод в Китае: цены, OEM, дистрибуция;форма на сайте;;;https://sdrives.ru;Distribution in Russia — Boneng / ПРОМКОНТУР;;;;;;;;;не отправлено;
96;Механика, привод, запчасти;Редукторы и мотор-редукторы;Неделя 2;ООО «Йилмаз Рус» (yilmaz-rus.ru / yr.com.ru);офиц. дистрибьютор;Коническо-цилиндрические, Цилиндрические соосные, Плоские насадные;Запрос дилерских условий;форма на сайте;;;https://yilmaz-rus.ru;Дилерство Yılmaz Redüktör, ELK Motor, GAMAK — ПРОМКОНТУР, направление «Редукторы и мотор-редукторы»;;;;;;;;;не отправлено;
97;Механика, привод, запчасти;Редукторы и мотор-редукторы;Резерв;«СПАРКС» (Новосибирск) — офиц. представитель Wuhan Supror / SUPROR;офиц. дистрибьютор;Цилиндрические соосные, Планетарные;Завод в Китае: цены, OEM, дистрибуция;форма на сайте;;;https://supror.ru;Distribution in Russia — Supror / ПРОМКОНТУР;;;;;;;;;не отправлено;
98;Механика, привод, запчасти;Редукторы и мотор-редукторы;Резерв;ГК «Новые технологии» / завод «РЕДУКТОР» (reduktor.nt-rt.ru);производитель / дистрибьютор;Общепромышленные Ц2У, 1Ц2У, РМ, Плоские насадные;Запрос дилерских условий;телефон / e-mail;rkd@nt-rt.ru;+7 (495) 268-04-70;https://reduktor.nt-rt.ru;Дилерство РЕДУКТОР — ПРОМКОНТУР, направление «Редукторы и мотор-редукторы»;;;;;;;;;не отправлено;
99;Механика, привод, запчасти;Подшипники и комплектующие;Неделя 1;ООО «2РС» / ТД «Росподшипник» (2rs.ru);офиц. дистрибьютор;Шариковые, Роликовые;Запрос дилерских условий;телефон / e-mail;zakaz@2rs.ru;8 (800) 100-57-07;https://2rs.ru/contacts/;Дилерство CRAFT bearings, МПЗ, ВПЗ, 10-ГПЗ, АПЗ-20, Rospod — ПРОМКОНТУР, направление «Подшипники и комплектующие»;;;;;;;;;не отправлено;
100;Механика, привод, запчасти;Подшипники и комплектующие;Неделя 1;ТД ЕПК (epkgroup.ru);производитель (единственный законный сбытовой канал);Роликовые, Шариковые;Запрос условий сервиса / КП;телефон;;+7 (495) 775-8130;https://epkgroup.ru/products/services/;Запрос условий для B2B-площадки ПРОМКОНТУР — Подшипники и комплектующие;;;;;;;;;не отправлено;
101;Механика, привод, запчасти;Подшипники и комплектующие;Неделя 2;ООО «КПД М» (Мытищи) — офиц. дистрибьютор МПЗ в РФ;офиц. дистрибьютор;Роликовые;Запрос дилерских условий;форма на сайте;;;https://mpz-belarus.ru;Дилерство МПЗ (Минский подшипниковый завод, бывш. ГПЗ-11) — ПРОМКОНТУР, направление «Подшипники и комплектующие»;;;;;;;;;не отправлено;
102;Механика, привод, запчасти;Подшипники и комплектующие;Неделя 2;ООО «Иннер Инжиниринг» (inner.su / thk.su);офиц. дистрибьютор;Шариковые, Роликовые, Линейные направляющие и втулки;Запрос дилерских условий;e-mail;sale@inner.su;+7 (499) 302-16-40;https://thk.su;Дилерство ZWZ, THK — ПРОМКОНТУР, направление «Подшипники и комплектующие»;;;;;;;;;не отправлено;
103;Механика, привод, запчасти;Подшипники и комплектующие;Неделя 2;ООО «АКСДЕКОМ» (aksdekom.ru);дистрибьютор;Приводные ремни, Цепи и звёздочки, Муфты;Запрос дилерских условий;e-mail / телефон;info@aksdekom.ru;+7 (495) 41-41-788;https://www.aksdekom.ru;Дилерство мультибрендовый (шкивы, ремни, цепи, звёздочки, муфты) — ПРОМКОНТУР, направление «Подшипники и комплектующие»;;;;;;;;;не отправлено;
104;Механика, привод, запчасти;Подшипники и комплектующие;Резерв;Xingtai-кластер РТИ (bpseal.com, en.wm-seal.com, xtxstyf.com);производитель (Китай, без РФ-представительства);Манжеты и сальники;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;https://en.wm-seal.com;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
105;Механика, привод, запчасти;Запчасти для производства;Неделя 1;ООО «РезиноМир» (rti-land.ru);производитель / поставщик;Ремкомплекты насосов и компрессоров, РТИ и кольца, Прокладки и паронит, Изготовление деталей по чертежу;Запрос дилерских условий;форма на сайте;;;https://rti-land.ru;Дилерство РезиноМир — ПРОМКОНТУР, направление «Запчасти для производства»;;;;;;;;;не отправлено;
106;Механика, привод, запчасти;Запчасти для производства;Неделя 2;ARP (arp-parts.ru);производитель;Ремкомплекты насосов и компрессоров, РТИ и кольца, Прокладки и паронит;Запрос дилерских условий;телефон;;+7 (495) 540-43-57;https://arp-parts.ru;Дилерство ARP — ПРОМКОНТУР, направление «Запчасти для производства»;;;;;;;;;не отправлено;
107;Механика, привод, запчасти;Запчасти для производства;Неделя 1;ООО «Компания Машкрепеж» (rus-bolt.ru);дилерская сеть;Крепёж;Запрос дилерских условий;e-mail / телефон;sales@rus-bolt.ru;+7 (499) 372-77-77;https://www.rus-bolt.ru;Дилерство мультибрендовый крепёж и метизы — ПРОМКОНТУР, направление «Запчасти для производства»;;;;;;;;;не отправлено;
108;Механика, привод, запчасти;Запчасти для производства;Неделя 2;ГК «Параллель» (bolt57.ru);производитель;Крепёж;Запрос дилерских условий;форма на сайте;;;https://www.bolt57.ru;Дилерство Параллель — ПРОМКОНТУР, направление «Запчасти для производства»;;;;;;;;;не отправлено;
109;Механика, привод, запчасти;Запчасти для производства;Резерв;Xingtai S&P Mechanical Seal Factory (bpseal.com) и кластер Синтая;производитель (Китай);Торцевые уплотнения;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;https://bpseal.com;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
110;Механика, привод, запчасти;Запчасти для производства;Резерв;ГК «Новые технологии» / СПЕЦИЗДЕЛИЕ (pgsi.nt-rt.ru);дистрибьютор;Ремкомплекты насосов и компрессоров, Запчасти для станков и линий;Запрос дилерских условий;e-mail / телефон;png@nt-rt.ru;+7 (495) 268-04-70;https://pgsi.nt-rt.ru;Дилерство СПЕЦИЗДЕЛИЕ — ПРОМКОНТУР, направление «Запчасти для производства»;;;;;;;;;не отправлено;
111;Механика, привод, запчасти;Конвейерное оборудование;Неделя 1;ООО «Русконбельт» (rusconbelt.ru);офиц. дилер;Ролики и роликоопоры, Ленты, Мотор-барабаны, Приводные барабаны, Конвейеры под заказ;Запрос дилерских условий;телефон / e-mail;info@rusconbelt.ru;+7 (495) 234-23-57;https://rusconbelt.ru/kontakty/;Дилерство Interroll — ПРОМКОНТУР, направление «Конвейерное оборудование»;;;;;;;;;не отправлено;
112;Механика, привод, запчасти;Конвейерное оборудование;Неделя 2;ООО «Детали машин» (bearing-spb.ru) — авторизованный дистрибьютор TSUBAKI;офиц. дистрибьютор;Цепи;Запрос дилерских условий;e-mail / телефон;sales@bearing-spb.ru;+7 (812) 676-28-16;https://www.bearing-spb.ru;Дилерство Tsubaki — ПРОМКОНТУР, направление «Конвейерное оборудование»;;;;;;;;;не отправлено;
113;Механика, привод, запчасти;Конвейерное оборудование;Резерв;Tangshan Jieli Electromechanical Equipment (Китай);производитель (Китай, без РФ-представительства);Ролики и роликоопоры;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
114;Механика, привод, запчасти;Подъёмное оборудование;Неделя 1;ООО ТД ТОР (gkrem.ru/dealer);дилерская сеть;Электротали, Ручные тали и лебёдки, Электролебёдки, Кран-балки, Запчасти;Запрос дилерских условий;личный кабинет дилера / телефон;;8-800-956-96-96;https://gkrem.ru/dealer/;Дилерство TOR — ПРОМКОНТУР, направление «Подъёмное оборудование»;;;;;;;;;не отправлено;
115;Механика, привод, запчасти;Подъёмное оборудование;Неделя 2;TOR Industries — прямой представитель (tor-industries.pro);офиц. представитель;Электротали, Кран-балки;Запрос дилерских условий;телефон;zakaz@tor-industries.pro;+7 (499) 302-34-08;https://www.tor-industries.pro;Дилерство TOR — ПРОМКОНТУР, направление «Подъёмное оборудование»;;;;;;;;;не отправлено;
116;Механика, привод, запчасти;Подъёмное оборудование;Резерв;ООО «ВЕКТОР» (tor-1.ru) — офиц. представитель TOR;офиц. представитель;Электротали, Ручные тали и лебёдки, Электролебёдки;Запрос дилерских условий;форма на сайте;;;https://tor-1.ru;Дилерство TOR — ПРОМКОНТУР, направление «Подъёмное оборудование»;;;;;;;;;не отправлено;
117;Механика, привод, запчасти;Подъёмное оборудование;Резерв;Nucleon (Xinxiang) Crane Co. (Китай);производитель (без подтверждённого РФ-дистрибьютора);Козловые и консольные краны, Электротали;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
118;Механика, привод, запчасти;Промышленная химия;Неделя 1;SINTEC Lubricants (sinteclubricants.ru);производитель;Гидравлические масла, Редукторные и индустриальные, Компрессорные и турбинные, Смазки, Антикоррозионные составы;Запрос дилерских условий;форма «Стать дистрибьютором»;info@sintec.pro;8 800 201 40 40;https://sinteclubricants.ru/kompaniya/cooperation/;Дилерство SINTEC — ПРОМКОНТУР, направление «Промышленная химия»;;;;;;;;;не отправлено;
119;Механика, привод, запчасти;Промышленная химия;Неделя 2;ООО «ТК «Гранд» — офиц. дистрибьютор Sinopec (sinopecrussia.ru);офиц. дистрибьютор;Гидравлические масла, Редукторные и индустриальные, Компрессорные и турбинные, Смазки;Запрос дилерских условий;форма на сайте;;;https://sinopecrussia.ru;Дилерство Sinopec / Great Wall Lubricant — ПРОМКОНТУР, направление «Промышленная химия»;;;;;;;;;не отправлено;
120;Механика, привод, запчасти;Промышленная химия;Резерв;«ЭнергоТехСервис» — офиц. дистрибьютор Sinopec GS200-L;офиц. дистрибьютор;Компрессорные и турбинные;Запрос дилерских условий;форма на сайте;;;;Дилерство Sinopec — ПРОМКОНТУР, направление «Промышленная химия»;;;;;;;;;не отправлено;
121;Механика, привод, запчасти;Промышленная химия;Неделя 2;ЛЛК-Интернешнл / ЛУКОЙЛ (b2b.lukoil-shop.ru, licard.ru);производитель;Гидравлические масла, Редукторные и индустриальные, Смазки;Запрос дилерских условий;телефон;;8 800 700-8-700;https://b2b.lukoil-shop.ru;Дилерство ЛУКОЙЛ — ПРОМКОНТУР, направление «Промышленная химия»;;;;;;;;;не отправлено;
122;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 1;ООО «ПромГрупп» — офиц. дистрибьютор GESAC (gesac.com.ru);офиц. дистрибьютор;Твердосплавные пластины, Свёрла, развёртки, метчики, Фрезы;Запрос дилерских условий;телефон / e-mail;info@promgrupp.ru;+7 (919) 191-71-13;https://gesac.com.ru/contacts;Дилерство GESAC (Xiamen Golden Egret Special Alloy) — ПРОМКОНТУР, направление «Оборудование для металлообработки»;;;;;;;;;не отправлено;
123;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 1;«ИЗ-КП» / СИЗ-КП (iz-kp.ru, sizkp.ru), Екатеринбург;офиц. дилер Korloy;Твердосплавные пластины, Фрезы, Свёрла, развёртки, метчики;Запрос дилерских условий;e-mail / телефон;info@sizkp.ru;+7 (343) 251-99-09;https://iz-kp.ru;Дилерство Korloy, YG-1, Триникс — ПРОМКОНТУР, направление «Оборудование для металлообработки»;;;;;;;;;не отправлено;
124;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 2;ООО «ЮВЕНДУС» (uvendus.ru), Самара;дистрибьютор;Токарные патроны, Тиски и оснастка, Оправки и цанги;Запрос дилерских условий;телефон / e-mail;order@uvendus.ru;+7 929 703-33-39;https://uvendus.ru;Дилерство Bison (Польша), БелТапаз (Беларусь), СиСаранкс, Starda Force — ПРОМКОНТУР, направление «Оборудование для металлообработки»;;;;;;;;;не отправлено;
125;Механика, привод, запчасти;Оборудование для металлообработки;Резерв;ООО «Московский станкостроительный завод» — офиц. поставщик БЗСП;офиц. дилер;Токарные патроны;Запрос дилерских условий;телефон;;8 495 258 82 89;https://mosstanko.ru;Дилерство БЗСП (Барановичский завод станкопринадлежностей) — ПРОМКОНТУР, направление «Оборудование для металлообработки»;;;;;;;;;не отправлено;
126;Механика, привод, запчасти;Промышленный инструмент;Неделя 1;JONNESWAY (jonnesway.ru);производитель / дилерская сеть;Пневмоинструмент, Динамометрический, Наборы ручного;Запрос дилерских условий;форма заявки на дилерство;;;https://www.jonnesway.ru/page/partner/;Дилерство Jonnesway, Ombra — ПРОМКОНТУР, направление «Промышленный инструмент»;;;;;;;;;не отправлено;
127;Механика, привод, запчасти;Промышленный инструмент;Неделя 1;ООО ТД ТОР (gkrem.ru/dealer);дилерская сеть;Гидравлические домкраты и съёмники, Пневмоинструмент;Запрос дилерских условий;личный кабинет дилера / телефон;;8-800-956-96-96;https://gkrem.ru/dealer/;Дилерство TOR — ПРОМКОНТУР, направление «Промышленный инструмент»;;;;;;;;;не отправлено;
128;Механика, привод, запчасти;Промышленный инструмент;Неделя 2;ООО «Толсен Рус»;офиц. дистрибьютор;Электроинструмент, Наборы ручного;Запрос дилерских условий;e-mail;sales@tolsentools.com;;;Дилерство Tolsen — ПРОМКОНТУР, направление «Промышленный инструмент»;;;;;;;;;не отправлено;
129;Механика, привод, запчасти;Промышленный инструмент;Резерв;ZYBR.BY / ZUBR-Russia (zubr-russia.ru, zubr-rus.ru);дилерская сеть (реселлеры бренда);Электроинструмент, Абразивы, Наборы ручного;Запрос дилерских условий;телефон / e-mail;zakaz@zubr-russia.ru;+7 (495) 477-51-50;https://zubr-russia.ru/about-us/;Дилерство ЗУБР — ПРОМКОНТУР, направление «Промышленный инструмент»;;;;;;;;;не отправлено;
130;Производство и обработка;Станки и ЧПУ;Неделя 1;Metal Master (представительство бренда, Москва);производитель/бренд-владелец (Китай, представительство РФ);Токарные ЧПУ и универсальные, Фрезерные и ОЦ, Листогибы, Гильотины и вальцы, Сверлильные и ленточнопильные;Запрос дилерских условий;форма «Стать дилером» / e-mail;info@metalmaster.ru;+7 (495) 374-64-07, 8 (800) 775-78-34;https://metalmaster.ru/dileram/;Дилерство Metal Master — ПРОМКОНТУР, направление «Станки и ЧПУ»;;;;;;;;;не отправлено;
131;Производство и обработка;Станки и ЧПУ;Неделя 1;Энергостан (energostan.ru);дилер Bodor / продавец широкой линейки листового и лазерного оборудования;Оптоволоконные лазеры, Листогибы, Гильотины и вальцы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://www.energostan.ru/uslugi/partner/;Партнёрство по привлечению заказчиков — Станки и ЧПУ;;;;;;;;;не отправлено;
132;Производство и обработка;Станки и ЧПУ;Неделя 2;ТД «Мироград» (bodor-rus.ru);«золотой дилер» Bodor в РФ;Оптоволоконные лазеры;Запрос дилерских условий;форма на сайте;;;https://bodor-rus.ru/;Дилерство Bodor — ПРОМКОНТУР, направление «Станки и ЧПУ»;;;;;;;;;не отправлено;
133;Производство и обработка;Станки и ЧПУ;Неделя 1;Станкоимпорт (si-tools.ru);производитель/прямой поставщик оборудования и инструмента, эксклюзивный импортёр HANS;Токарные ЧПУ и универсальные, Сверлильные и ленточнопильные;Запрос дилерских условий;телефон / форма на сайте;;(495) 127-9-777;https://si-tools.ru/;Дилерство HANS, Станкоимпорт — ПРОМКОНТУР, направление «Станки и ЧПУ»;;;;;;;;;не отправлено;
134;Производство и обработка;Станки и ЧПУ;Неделя 1;Интервесп (intervesp.ru);дистрибьютор станков (металл/дерево/мебель);Токарные ЧПУ и универсальные, Фрезерные и ОЦ;Запрос дилерских условий;форма «Дилерам»;;;https://intervesp.ru/company/dileram;Дилерство мультибренд — ПРОМКОНТУР, направление «Станки и ЧПУ»;;;;;;;;;не отправлено;
135;Производство и обработка;Станки и ЧПУ;Неделя 2;Балт-Систем (newbsystem.ru);производитель (устройства ЧПУ, приводы, сервоприводы);Системы ЧПУ и модернизация;Агентская схема — вознаграждение за заявку;форма на сайте;;;http://newbsystem.ru/;Партнёрство по привлечению заказчиков — Станки и ЧПУ;;;;;;;;;не отправлено;
136;Производство и обработка;Сварочное оборудование;Неделя 1;КЕДР / ГК «АВАНГАРД» (kedrweld.ru);бренд-владелец, сеть региональных дилеров (продукция Riland/КНР под локальным брендом с EAC);MIG/MAG, TIG, MMA;Запрос дилерских условий;e-mail / региональное представительство;info@kedrweld.ru;;https://kedrweld.ru/;Дилерство КЕДР — ПРОМКОНТУР, направление «Сварочное оборудование»;;;;;;;;;не отправлено;
137;Производство и обработка;Сварочное оборудование;Неделя 1;FoxWeld (foxweld.ru);производитель/поставщик с 1998 г., 10 региональных представительств;MIG/MAG, TIG, MMA, Плазменная резка, Горелки и комплектующие;Запрос дилерских условий;телефон / e-mail;info@foxweld.ru;8 (800) 250-78-85;https://foxweld.ru/;Дилерство FoxWeld — ПРОМКОНТУР, направление «Сварочное оборудование»;;;;;;;;;не отправлено;
138;Производство и обработка;Сварочное оборудование;Неделя 2;Сварог / ООО «Металлострой СПб» (svarog-rf.ru, ms-spb.com);официальный дистрибьютор Jasic (Shenzhen Jasic Technology) в РФ под брендом «Сварог»;MIG/MAG;Запрос дилерских условий;телефон / форма на сайте;;8 800 55-12-123;https://ms-spb.com/;Дилерство Сварог, Jasic — ПРОМКОНТУР, направление «Сварочное оборудование»;;;;;;;;;не отправлено;
139;Производство и обработка;Сварочное оборудование;Неделя 1;ESAB Россия (esab.ru);производитель сварочных материалов и оборудования (локализация в РФ);Горелки и комплектующие, Проволока и электроды;Запрос дилерских условий;e-mail / телефон;info@esab.ru;+7 (495) 663-20-08;https://esab.ru/;Дилерство ESAB — ПРОМКОНТУР, направление «Сварочное оборудование»;;;;;;;;;не отправлено;
