№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Дропшип;Отгрузка клиенту;Нейтрально;Мин. заказ;Фид;Приём заказа;Оплата;Срок отгрузки;Возвраты;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
52;Перекачка, трубопровод, вода;Промышленная арматура;Неделя 2;АДЛ;производитель (РФ, МО) + прямые поставки европейских брендов;задвижки клиновые и шиберные, дисковые затворы, шаровые краны, обратные клапаны, регулирующие и предохранительные клапаны, фильтры сетчатые и грязевики;Дропшиппинг: прямая отгрузка нашим клиентам;телефон/email;info@adl.ru;+7 (495) 937-89-68;https://adl.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: АДЛ — ПРОМКОНТУР;;;;;;;;;не отправлено;
53;Перекачка, трубопровод, вода;Промышленная арматура;Неделя 2;Tecofi (через официальных дилеров: ТермоПартнер, Ревитех-Пермь, Новатек, ВТП Инжиниринг);офиц. дистрибьюторы французского производителя;задвижки клиновые и шиберные, дисковые затворы, регулирующие и предохранительные клапаны, электро- и пневмоприводы;Дропшиппинг: прямая отгрузка нашим клиентам;через дилера, форма на сайте;;;https://termopartner.ru/brands/tecofi/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Tecofi — ПРОМКОНТУР;;;;;;;;;не отправлено;
54;Перекачка, трубопровод, вода;Промышленная арматура;Неделя 2;Ридан (Ridan);производитель (Дзержинск) — также поворотные затворы;дисковые затворы;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://ridan.ru/distributors-and-service-partners;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно (есть закрытая платформа «Ридан Online», формат фида не публичен);неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Ридан — ПРОМКОНТУР;;;;;;;;;не отправлено;
55;Перекачка, трубопровод, вода;Промышленная арматура;Резерв;Zhejiang Chaoda Valve Group (Chaoda Valves);производитель (Китай, Вэньчжоу);шаровые краны, задвижки клиновые и шиберные, обратные клапаны, дисковые затворы;ВЭД-партнёр: импорт под ключ;форма на chinavalve.com / Alibaba;;;http://www.chinavalve.com/blank41.html;нет;нет;неизвестно;MOQ 50–100 шт. (оптовая партия, не поштучно);нет;неизвестно;неизвестно;неизвестно (долгий цикл производства/логистики из Китая);неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
56;Перекачка, трубопровод, вода;Гидравлика;Неделя 1;ООО «Гидравия» (hydravia.ru);производитель/поставщик оборудования для РВД (рукава высокого давления, фитинги, БРС, опрессовочные станки) + программа «Интернет-партнёрство»;РВД и фитинги;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / телефон;info@hydravia.ru;+7 (812) 702-12-42;https://hydravia.ru/partner/internet/;частично;неизвестно — платформа рассчитана на собственный интернет-магазин партнёра с доставкой конечному покупателю, но прямая отгрузка на адрес клиента агрегатора (грузополучатель ≠ покупатель) явно не описана;неизвестно;неизвестно;да — синхронизация каталога/остатков через 1С, МойСклад, API (условия доступа к API вне готового тарифа не уточнены);личный кабинет партнёрской платформы + API;неизвестно (описана только приёмка платы от покупателя через Юkassa на витрине партнёра);неизвестно;неизвестно;Сотрудничество по дропшиппингу: Гидравия, Parker, VERSO, Powermaster, CAST — ПРОМКОНТУР;;;;;;;;;не отправлено;
57;Перекачка, трубопровод, вода;Гидравлика;Неделя 2;«Гидравлика-сервис» (Владимир, gidravlik33.ru);офиц. дилер PSM-Hydraulics + мультибренд;шестерённые/аксиально-поршневые/пластинчатые насосы, гидромоторы, распределители и клапаны, гидростанции;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://gidravlik33.ru/about/;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: PSM-Hydraulics, Camozzi, ATOS, SMC, Гидравлик, Гидроаппарат (Ульяновск) — ПРОМКОНТУР;;;;;;;;;не отправлено;
58;Перекачка, трубопровод, вода;Гидравлика;Резерв;«Гидравлик Групп» (Москва);сервис/производство РВД и гидроцилиндров;РВД и фитинги, уплотнения и ремкомплекты;Агентская схема — вознаграждение за заявку;телефон;;8 800 775-96-77;https://gidravlikgroup.ru/about/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Гидравлика;;;;;;;;;не отправлено;
59;Перекачка, трубопровод, вода;Гидравлика;Резерв;Jiangsu Hengli Hydraulic Co. (Hengli Hydraulics);производитель (Китай, публичная компания, SSE 601100);гидроцилиндры, гидростанции, фильтры, баки, теплообменники;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://www.henglihydraulics.com/en/col749/;нет;нет;неизвестно;неизвестно (вероятно, оптовые партии);нет;неизвестно;неизвестно;неизвестно (долгий цикл, нужен ВЭД-агент);неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
60;Перекачка, трубопровод, вода;Пневматика;Неделя 2;«Би Энд Би Инжиниринг» (bb-engineering.ru);один из офиц. дилеров AirTAC + офиц. дилер Camozzi;пневмоцилиндры, распределители и острова, блоки подготовки воздуха, пневмоприводы арматуры;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://bb-engineering.ru/airtac/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: AirTAC, Camozzi — ПРОМКОНТУР;;;;;;;;;не отправлено;
61;Перекачка, трубопровод, вода;Пневматика;Неделя 2;ООО «Подшипникон» (podshipnikon.ru);офиц. дилер AirTAC;пневмоцилиндры, фитинги, пневмотрубки, датчики положения и ремкомплекты;Дропшиппинг: прямая отгрузка нашим клиентам;телефон/форма;;8 (800) 222-60-22;https://podshipnikon.ru/airtac;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: AirTAC — ПРОМКОНТУР;;;;;;;;;не отправлено;
62;Перекачка, трубопровод, вода;Пневматика;Неделя 2;BB-Engineering (bb-engineering.ru);официальный дистрибьютор CAMOZZI, авторизованный партнёр FESTO и Schmalz в России;Вакуумные присоски и эжекторы;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;sale@bb-engineering.ru;+7(499)490-45-56;https://bb-engineering.ru/vakuumnye-zahvaty/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: CAMOZZI, FESTO, Schmalz, SMC — ПРОМКОНТУР;;;;;;;;;не отправлено;
63;Перекачка, трубопровод, вода;Пневматика;Резерв;China SNS Pneumatic (SNS (Ningbo) Technology Group);производитель (Китай/Тайвань);вакуумные присоски и эжекторы, пневмоцилиндры;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://snspneumatic.com/;нет;нет;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
64;Перекачка, трубопровод, вода;Теплообменное оборудование;Неделя 2;Ридан (Ridan);производитель (Дзержинск, РФ);разборные пластинчатые, паяные, кожухотрубные, пластины и уплотнения, БТП, охладители масла;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://ridan.ru/distributors-and-service-partners;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Ридан — ПРОМКОНТУР;;;;;;;;;не отправлено;
65;Перекачка, трубопровод, вода;Теплообменное оборудование;Неделя 2;Новохим (opt.novochem.ru);единственный в РФ производитель, предлагающий и реагенты, и комплексные сервисные услуги по промывкам «под ключ»;Химическая промывка и сервисные комплекты;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / бесплатный телефон;sales@novochem.ru;8 (800) 234-49-33;https://opt.novochem.ru/;неизвестно;неизвестно;неизвестно;от 2000 л реагентов (для дилерского статуса — не дропшип-формат);нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Новохим — ПРОМКОНТУР;;;;;;;;;не отправлено;
66;Перекачка, трубопровод, вода;Теплообменное оборудование;Неделя 2;Pipal Chemicals / ПРОМЫВАТОР (xn--80ad3ahdbhfq1g.xn--p1ai);производитель оборудования и химических растворов для промывки теплообменников и инженерных систем;Химическая промывка и сервисные комплекты;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;order@myPipal.ru;+7 (495) 771 71 17;https://xn--80ad3ahdbhfq1g.xn--p1ai/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: ПРОМЫВАТОР, Pipal Chemicals — ПРОМКОНТУР;;;;;;;;;не отправлено;
67;Перекачка, трубопровод, вода;Теплообменное оборудование;Резерв;Siping Juyuan Hanyang Plate Heat Exchanger Co. (THT Juyuan);производитель (Китай, Цзилинь);паяные, кожухотрубные;ВЭД-партнёр: импорт под ключ;форма на сайте;;;http://en.tht.cn/;нет;нет;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно (производство под заказ);неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
68;Перекачка, трубопровод, вода;Котельное оборудование;Неделя 2;Теплоприбор (Беларусь, ОАО, отопительные котлы);производитель;водогрейные котлы, расширительные баки и предохранительная арматура;Дропшиппинг: прямая отгрузка нашим клиентам;через партнёра МЕЙСТАРС;info@kotelrizon.ru;;https://kotelrizon.ru/;неизвестно;неизвестно (есть «бесплатная доставка» дилеру, про доставку конечному клиенту дилера не сказано);неизвестно;неизвестно;нет;неизвестно;неизвестно (для дилеров — отсрочка до 180 дней);неизвестно;неизвестно;Сотрудничество по дропшиппингу: Теплоприбор — ПРОМКОНТУР;;;;;;;;;не отправлено;
69;Перекачка, трубопровод, вода;Котельное оборудование;Неделя 2;Eremias Rus (eremias.ru);российский производитель модульных дымоходов из нержавеющей стали;Дымоходы и газоходы;Запрос условий сервиса / КП;e-mail / телефон;sales@eremias.ru;+7 (495) 664-23-78;https://eremias.ru/promyshlennye-dymohody/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Котельное оборудование;;;;;;;;;не отправлено;
70;Перекачка, трубопровод, вода;Котельное оборудование;Неделя 2;РКМ Корп (roskotlomash.pro);производитель промышленных дымоходов и газоходов «под ключ»;Дымоходы и газоходы;Запрос условий сервиса / КП;e-mail;roskotlomash@yandex.ru;;https://roskotlomash.pro/products/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Котельное оборудование;;;;;;;;;не отправлено;
71;Перекачка, трубопровод, вода;Котельное оборудование;Резерв;ЭНТРОРОС;производитель (СПб);водогрейные котлы, паровые котлы, автоматика котельных, БМК;Запрос дилерских условий;email/через представителя;opt2@prizma-npp.ru;8 (351) 2-777-666;http://thermoengineering.ru/ru/entroros;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Дилерство Термотехник, ЭНТРОМАТИК — ПРОМКОНТУР, направление «Котельное оборудование»;;;;;;;;;не отправлено;
72;Перекачка, трубопровод, вода;Котельное оборудование;Резерв;Бийский котельный завод (БиКЗ);производитель (с 1942 г.);паровые котлы, водогрейные котлы;Запрос условий сервиса / КП;телефон;sibir@bikz.ru;8-800-333-19-19;;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Котельное оборудование;;;;;;;;;не отправлено;
73;Перекачка, трубопровод, вода;Котельное оборудование;Резерв;Plumber Rus (эксклюзивный дистрибьютор Baltur);офиц. дистрибьютор (горелки, Италия);горелки;Запрос условий сервиса / КП;email/телефон;info@baltur.su;+7 (495) 101-15-75;;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Котельное оборудование;;;;;;;;;не отправлено;
74;Перекачка, трубопровод, вода;Водоподготовка;Неделя 2;Гейзер (geizer.com);производитель + эксклюзивный дистрибьютор импортных комплектующих;обратный осмос, умягчение, обезжелезивание, механическая фильтрация, УФ, мембраны, смолы, загрузки;Дропшиппинг: прямая отгрузка нашим клиентам;страница «Поставщикам/дилерам»;;;https://geizer.com/about/supply/;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Гейзер, Clack, GE Osmonics, Pentair, Purolite, HM Digital, Runxin — ПРОМКОНТУР;;;;;;;;;не отправлено;
75;Перекачка, трубопровод, вода;Водоподготовка;Неделя 2;osmos.iceberg-filter.ru (iceberg-filter.ru);производитель систем обратного осмоса;обратный осмос, дозирование реагентов;Дропшиппинг: прямая отгрузка нашим клиентам;телефон/форма;;8 (800) 505-50-39;https://osmos.iceberg-filter.ru/punkty_vydachi_zakazov_dostavka/uslviya-dileram/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Iceberg, osmos — ПРОМКОНТУР;;;;;;;;;не отправлено;
76;Перекачка, трубопровод, вода;Водоподготовка;Резерв;Vontron Technology;производитель мембран (Китай, публичная компания, входит в CRRC Group);мембраны, смолы, загрузки;Завод в Китае: цены, OEM, дистрибуция;форма на сайте;;;https://en.vontron.com/;нет;нет;неизвестно;MOQ (оптовые партии);нет;неизвестно;неизвестно;неизвестно;неизвестно;Distribution in Russia — Vontron / ПРОМКОНТУР;;;;;;;;;не отправлено;
77;Перекачка, трубопровод, вода;Очистные сооружения;Неделя 2;ТОПОЛ-ЭКО / ТОПАС;производитель (>20 лет на рынке, 10–13 складов по РФ);биологическая очистка, ливневые, жироуловители, нефте- и пескоуловители;Агентская схема — вознаграждение за заявку;форма на сайте / телефон;;+7 (495) 789-69-37;https://www.topol-eco.ru/for-dealers/;неизвестно;неизвестно (завод отгружает сам, но по своим документам и от своего имени — не подтверждена возможность отгрузки «под брендом» агрегатора);неизвестно;неизвестно (единичная септик-установка — от 1 шт.);нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Очистные сооружения;;;;;;;;;не отправлено;
78;Перекачка, трубопровод, вода;Очистные сооружения;Резерв;АО «Флотенк»;производитель (СПб, стеклопластиковые корпуса методом машинной намотки);КНС, флотаторы, нефте- и пескоуловители, обезвоживание осадка;Запрос условий сервиса / КП;телефон/email;sale@flotenk.ru;8 800 700 48 87;https://flotenk.ru/products/nasosnye-stantsii/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно (изготовление под заказ);неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Очистные сооружения;;;;;;;;;не отправлено;
79;Перекачка, трубопровод, вода;Очистные сооружения;Резерв;ООО «СБМ-Групп» / ЮНИЛОС;производитель/поставщик КНС и очистных;КНС, биологическая очистка;Дропшиппинг: прямая отгрузка нашим клиентам;email/личный кабинет партнёра;partner@unilos.ru;+7 (495) 279-25-35;https://partner.unilos.ru/;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно (есть личный кабинет партнёра — возможно, через него передаются заказы);неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: ЮНИЛОС, СБМ-Групп — ПРОМКОНТУР;;;;;;;;;не отправлено;
80;Перекачка, трубопровод, вода;Пожарное оборудование;Неделя 2;ЗАО «ПО «Спецавтоматика» (Бийск);производитель (единственное предприятие в РФ с полным спектром оборудования для систем водяного/пенного пожаротушения, сигнализации);насосные станции пожаротушения, шкафы управления пожарными насосами, узлы управления, оросители, приборы и извещатели;Дропшиппинг: прямая отгрузка нашим клиентам;email/телефон отдела продаж;sales@sa-biysk.ru;8-800-2008-208;https://sa-biysk.ru/offices/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Спецавтоматика — ПРОМКОНТУР;;;;;;;;;не отправлено;
81;Перекачка, трубопровод, вода;Пожарное оборудование;Неделя 2;АДЛ;производитель (арматура, включая пожарные клапаны);пожарные клапаны;Дропшиппинг: прямая отгрузка нашим клиентам;телефон/email;info@adl.ru;+7 (495) 937-89-68;https://adl.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: АДЛ — ПРОМКОНТУР;;;;;;;;;не отправлено;
82;Перекачка, трубопровод, вода;Пожарное оборудование;Неделя 2;ООО «ПОЖТЕХКОМ» (ptk53.ru);поставщик/производитель пожарных шкафов и рукавов (Великий Новгород/Боровичи);пожарные шкафы и рукава;Запрос условий сервиса / КП;телефон/прайс на сайте;;;https://ptk53.ru/prays_list;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Пожарное оборудование;;;;;;;;;не отправлено;
83;Перекачка, трубопровод, вода;Пожарное оборудование;Резерв;«Первая Пожарная Компания» (01ppk.ru);мультибрендовый дистрибьютор (офиц. представитель Спецавтоматика Бийск, БЗТМ, Гидрант, Уралмеханика, Огнеза);насосные станции пожаротушения, узлы управления, пожарные шкафы и рукава;Запрос дилерских условий;форма на сайте;;;http://01ppk.ru/dileram/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Дилерство Спецавтоматика, БЗТМ, Гидрант, Уралмеханика, Огнеза — ПРОМКОНТУР, направление «Пожарное оборудование»;;;;;;;;;не отправлено;
84;Воздух, климат и очистка;Компрессоры;Неделя 1;Бежецкий завод АСО;производитель;Винтовые, Поршневые, Ресиверы, Запчасти и сервисные комплекты;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://asobezh.ru/promo/partner/;частично;да — прямая доставка на адрес клиента подтверждена текстом дилерской страницы, детали (кто указан грузоотправителем) не раскрыты;неизвестно;неизвестно;нет данных на сайте — формат фида не упомянут, уточнять у менеджера;форма на сайте / встреча с руководителем дилерского направления;неизвестно (упомянута отсрочка «после периода успешной работы»);"неизвестно; есть региональные склады (напр. Новосибирск) для сокращения сроков";неизвестно (упомянута оплата гарантийных ремонтов дилеру, не конечному дропшип-партнёру);Сотрудничество по дропшиппингу: АСО — ПРОМКОНТУР;;;;;;;;;не отправлено;
85;Воздух, климат и очистка;Компрессоры;Неделя 1;ЗАО «Ремеза» / ТД Ремеза;производитель;Винтовые, Поршневые, Осушители рефрижераторные и адсорбционные, Ресиверы;Дропшиппинг: прямая отгрузка нашим клиентам;личный кабинет / телефон;;8-800-511-31-05;https://www.remeza-logistic.ru/;частично;неизвестно — есть филиалы во всех регионах, что технически позволяет быструю доставку до клиента, но модель «грузополучатель ≠ покупатель» не описана;неизвестно;неизвестно;"нет данных о публичном фиде; остатки видны только после регистрации профиля юрлица";личный кабинет после регистрации / телефон;неизвестно;неизвестно, склады во всех крупных регионах (Москва, СПб, Казань, Екатеринбург и др.);неизвестно;Сотрудничество по дропшиппингу: Remeza — ПРОМКОНТУР;;;;;;;;;не отправлено;
86;Воздух, климат и очистка;Компрессоры;Неделя 1;Компрессорный завод «Арсмаш» (ЗИФ);производитель;Винтовые, Поршневые, Запчасти и сервисные комплекты;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / телефон;diler@zif.su;8-800-200-28-43;https://diler.zif.su/;да;неизвестно — портал ориентирован на ЗИП/бронирование, прямая отгрузка конечному покупателю (не дилеру) отдельно не описана;неизвестно;неизвестно;да — XML/XLS/CSV каталог по выбранным категориям, скачивается через дилерский портал по запросу на n.savchenko@zif.su;дилерский портал diler.zif.su / e-mail diler@zif.su / телефон 8-800-200-28-43;неизвестно;"неизвестно; 250+ сервисных центров в РФ ускоряют логистику";неизвестно;Сотрудничество по дропшиппингу: ЗИФ — ПРОМКОНТУР;;;;;;;;;не отправлено;
87;Воздух, климат и очистка;Компрессоры;Неделя 1;ООО «БИГ Фильтр» (BIG FILTER);производитель;Магистральные фильтры и сепараторы, Запчасти и сервисные комплекты;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://bigfilter.com/partnership/dealers/;частично;неизвестно — судя по формулировкам, дистрибьюторы сами хранят и продают товар (в т.ч. на OZON), прямая отгрузка от завода на адрес клиента ПРОМКОНТУР не подтверждена;неизвестно;неизвестно (анкета просит «существующий объём продаж, руб./месяц»);нет данных о публичном фиде;анкета на сайте, далее — менеджер;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: BIG FILTER — ПРОМКОНТУР;;;;;;;;;не отправлено;
88;Воздух, климат и очистка;Компрессоры;Неделя 1;Haocheng (ООО «Механическое оборудование Haocheng», бренды Lusheng/HC-AC);производитель (Китай, прямой импорт);Безмасляные;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / WhatsApp;hc689com@163.com;+86-15397675238;https://hc-ac.ru/;да;неизвестно — гарантирована доставка «до адреса партнёра», переадресация на адрес конечного клиента в РФ не подтверждена отдельно;неизвестно;от 1 единицы товара (заявлено на сайте);нет данных о YML/API фиде;e-mail hc689com@163.com / WhatsApp +86-15397675238;неизвестно;"неизвестно; международная доставка из Китая";неизвестно;Сотрудничество по дропшиппингу: Lusheng, HC-AC — ПРОМКОНТУР;;;;;;;;;не отправлено;
89;Воздух, климат и очистка;Компрессоры;Неделя 2;КАЙШАН РУС / Кайшан Компрессор РУС;офиц. дистрибьютор;Винтовые, Ресиверы;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@kaishanrus.com;+7 800 444-11-07;https://www.kaishanrus.com/;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail / телефон;неизвестно;"неизвестно; заявлен склад в Самаре и СПб";неизвестно;Сотрудничество по дропшиппингу: Kaishan — ПРОМКОНТУР;;;;;;;;;не отправлено;
90;Воздух, климат и очистка;Вентиляция и климат;Неделя 1;Ostberg (официальный дистрибьютор в РФ, сеть ostberg.com.ru);офиц. дистрибьютор;Радиальные и осевые вентиляторы, Крышные и канальные вентиляторы;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / e-mail;zakaz@ostberg.com.ru;8 (800) 550-20-72;https://ostberg.com.ru/;да;да — заявлено на карточке товара как условие оптовой цены;неизвестно;от 2 шт. (для оптовой цены с прямой отгрузкой);нет данных о публичном YML/API фиде;форма на сайте / e-mail zakaz@ostberg.com.ru;"неизвестно; частично предоплата почтовых/экспресс-отправок";неизвестно;гарантия от производителя 12 мес., условия возврата не детализированы;Сотрудничество по дропшиппингу: Ostberg — ПРОМКОНТУР;;;;;;;;;не отправлено;
91;Воздух, климат и очистка;Вентиляция и климат;Неделя 2;Systemair (ООО «Системэйр»);производитель;ПВУ, Радиальные и осевые вентиляторы, Крышные и канальные вентиляторы, Воздушно-отопительные агрегаты;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail;info@systemair-rus.ru;;https://systemy-rus.ru/diller;неизвестно;неизвестно;неизвестно;неизвестно;нет данных;e-mail info@systemair-rus.ru;неизвестно;"неизвестно; >20 региональных складов заявлено";неизвестно;Сотрудничество по дропшиппингу: Systemair, Geniox, Topvex — ПРОМКОНТУР;;;;;;;;;не отправлено;
92;Воздух, климат и очистка;Вентиляция и климат;Неделя 2;Арктос (air-vent.pro);офиц. представитель / производитель;Радиальные и осевые вентиляторы, Клапаны и решётки;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;zakaz@air-vent.pro;+7 495 128 94 50;https://air-vent.pro/;неизвестно;неизвестно;неизвестно;неизвестно;нет данных (есть только PDF-прайс на решётки и диффузоры);e-mail zakaz@air-vent.pro / телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Арктос — ПРОМКОНТУР;;;;;;;;;не отправлено;
93;Воздух, климат и очистка;Вентиляция и климат;Неделя 2;Shuft;дистрибьюторская сеть (shuft.pro/ru-shuft.com);Чиллеры и фанкойлы, ПВУ;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail;info@shuft.pro;;https://shuft.pro/partners/;неизвестно;неизвестно — адрес получателя указывается при заказе, но нет подтверждения, что это предусмотрено именно для модели «партнёр без своего склада»;неизвестно;неизвестно;нет данных;e-mail info@shuft.pro / форма на сайте, оптовые цены — ru-shuft.com/project-price/;100% предоплата (для отправки транспортной компанией);формируется на следующий день после оплаты;неизвестно;Сотрудничество по дропшиппингу: Shuft — ПРОМКОНТУР;;;;;;;;;не отправлено;
94;Воздух, климат и очистка;Вентиляция и климат;Резерв;ООО «Элстат»;производитель;Воздуховоды, Клапаны и решётки;Запрос условий сервиса / КП;форма на сайте;;;http://electroplaters.ru/catalog/elstat/;нет;неизвестно;неизвестно;неизвестно;нет;форма на сайте;неизвестно;неизвестно, изготовление часто под заказ;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Вентиляция и климат;;;;;;;;;не отправлено;
95;Воздух, климат и очистка;Промышленный холод;Неделя 1;Polair (Инвест-холод, Марий-Эл);производитель;ККБ, Холодильные агрегаты и централи, Воздухоохладители, Автоматика, компрессоры, хладагенты;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / телефон;sales@polair-shop.ru;+7 800 301 33 65;https://www.polair-shop.ru/;да;да — дилер, назначенный системой, отгружает товар непосредственно покупателю;неизвестно — вероятно отгрузка от имени назначенного дилера, не от ПРОМКОНТУР;неизвестно;"нет данных о публичном YML для внешних площадок; сама platforма polair-shop.ru работает как маркетплейс дилеров";"неизвестно — форма заказа на polair-shop.ru; для подключения внешней площадки нужен отдельный запрос в отдел продаж";неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Polair — ПРОМКОНТУР;;;;;;;;;не отправлено;
96;Воздух, климат и очистка;Промышленный холод;Неделя 1;ПромХолодЮг;производитель / оптовый поставщик;ККБ, Холодильные агрегаты и централи, Воздухоохладители, Автоматика, компрессоры, хладагенты;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;kerch29892mechanik@gmail.com;+7 978 118-30-07;https://holodindustry.ru/company/promyshlennoe-oborudovanie/promkholodyug/;частично;неизвестно — компания указывает «доставка в регионы РФ» со склада в Керчи, но не описывает отгрузку от чужого имени;неизвестно;от 1 единицы (по данным профиля на агрегаторе, не проверено на собственном сайте);нет данных;телефон / e-mail;неизвестно;"неизвестно; самовывоз со склада в Керчи, доставка в регионы РФ по договорённости";неизвестно;Сотрудничество по дропшиппингу: Bitzer, Copeland, Frascold, Intercold, Lamel, Carel, Elitech, Dixell — ПРОМКОНТУР;;;;;;;;;не отправлено;
